product_id,image_path,colour,design,title,price,fabric,brand,seg_path,design_source
2VCREPW25V36_999,images/2VCREPW25V36_999.JPG,maroon,embroidered,Embroidered Cotton Jacquard Shirt,4613,Cotton Jacquard,Sapphire,images_seg/2VCREPW25V36_999.png,title
3PESDW25V246_999,images/3PESDW25V246_999.jpg,white,embroidered,Embroidered Cotton Satin Shirt,5154,Cotton Satin,Sapphire,images_seg/3PESDW25V246_999.png,title
3PEPRW25V335_999,images/3PEPRW25V335_999.jpg,blue,embroidered,Embroidered Cotton Viscose Shirt,2793,Cotton Viscose,Sapphire,images_seg/3PEPRW25V335_999.png,title
3PEPRW25V228_999,images/3PEPRW25V228_999.jpg,blue,embroidered,Embroidered Cotton Satin Shirt,4194,Cotton Satin,Sapphire,images_seg/3PEPRW25V228_999.png,title
2STSDW25V317_999,images/2STSDW25V317_999.JPG,pink,solid,Solid Cotton Linen Shirt,3913,Cotton Linen,Sapphire,images_seg/2STSDW25V317_999.png,title
3PGLTRW25V38_999,images/3PGLTRW25V38_999.JPG,black,embroidered,Embroidered Cotton Viscose Shirt,5593,Cotton Viscose,Sapphire,images_seg/3PGLTRW25V38_999.png,title
3PGLTRW25V37_999,images/3PGLTRW25V37_999.JPG,lilac,embroidered,Embroidered Cotton Viscose Shirt,6993,Cotton Viscose,Sapphire,images_seg/3PGLTRW25V37_999.png,title
2STSDW25V324_999,images/2STSDW25V324_999.JPG,yellow,solid,Solid Cotton Linen Shirt,3913,Cotton Linen,Sapphire,images_seg/2STSDW25V324_999.png,title
2STSDW25V323_999,images/2STSDW25V323_999.JPG,beige,solid,Solid Cotton Linen Shirt,3913,Cotton Linen,Sapphire,images_seg/2STSDW25V323_999.png,title
3PGLTRW25V35_999,images/3PGLTRW25V35_999.JPG,green,embroidered,Embroidered Cotton Viscose Shirt,4193,Cotton Viscose,Sapphire,images_seg/3PGLTRW25V35_999.png,title
2STSDW25V319_999,images/2STSDW25V319_999.JPG,rust,solid,Solid Cotton Linen Shirt,3913,Cotton Linen,Sapphire,images_seg/2STSDW25V319_999.png,title
2STPRW25V269_999,images/2STPRW25V269_999.JPG,brown,printed,Printed Cambric Shirt,1974,Cambric,Sapphire,images_seg/2STPRW25V269_999.png,title
2SPRW25V269T_999,images/2SPRW25V269T_999.JPG,beige,printed,Printed Cambric Culottes,1374,Cambric,Sapphire,images_seg/2SPRW25V269T_999.png,title
2STSDW25V251_999,images/2STSDW25V251_999.JPG,green,solid,Solid Lawn Shirt,2513,Textured Lawn,Sapphire,images_seg/2STSDW25V251_999.png,title
2SEPRW25V238_999,images/2SEPRW25V238_999.JPG,green,embroidered,Embroidered Pishwas With Layered Green Cape,7794,Lawn Viscose,Sapphire,images_seg/2SEPRW25V238_999.png,title
03PCDFW25V34_999,images/03PCDFW25V34_999.JPG,green,embroidered,Embroidered Lawn Shirt,2394,Lawn,Sapphire,images_seg/03PCDFW25V34_999.png,title
2SEPRW25V239_999,images/2SEPRW25V239_999.JPG,green,embroidered,Embroidered Lawn Viscose Pishwas,5593,Lawn Viscose,Sapphire,images_seg/2SEPRW25V239_999.png,title
2STESDW25V36_999,images/2STESDW25V36_999.JPG,brown,embroidered,Embroidered Cotton Shirt,5154,Fancy Cotton,Sapphire,images_seg/2STESDW25V36_999.png,title
3PCDFW25V324_999,images/3PCDFW25V324_999.JPG,brown,embroidered,Embroidered Viscose Shirt,2513,Cotton Viscose,Sapphire,images_seg/3PCDFW25V324_999.png,title
3PCDFW25V318_999,images/3PCDFW25V318_999.JPG,blue,printed,Printed Viscose Shirt,1794,Cotton Viscose,Sapphire,images_seg/3PCDFW25V318_999.png,title
3PEPRW25V226_999,images/3PEPRW25V226_999.JPG,black,printed,Printed Cotton Satin Shirt,2754,Cotton Satin,Sapphire,images_seg/3PEPRW25V226_999.png,title
03PEMBW25V22_999,images/03PEMBW25V22_999.JPG,maroon,printed,Printed Cambric Shirt,2793,Cambric,Sapphire,images_seg/03PEMBW25V22_999.png,title
3PCDFW25V320_999,images/3PCDFW25V320_999.JPG,green,embroidered,Embroidered Viscose Shirt,2394,Cotton Viscose,Sapphire,images_seg/3PCDFW25V320_999.png,title
03PEMBW25V23_999,images/03PEMBW25V23_999.JPG,purple,printed,Printed Cambric Shirt,2653,Cambric,Sapphire,images_seg/03PEMBW25V23_999.png,title
3PRDFW25V44S_999,images/3PRDFW25V44S_999.JPG,red,embroidered,Embroidered Cambric Shirt,4543,Cambric,Sapphire,images_seg/3PRDFW25V44S_999.png,title
3PCDFW25V323_999,images/3PCDFW25V323_999.JPG,blue,embroidered,Embroidered Viscose Shirt,2513,Cotton Viscose,Sapphire,images_seg/3PCDFW25V323_999.png,title
2STESDW25V34_999,images/2STESDW25V34_999.JPG,lilac,embroidered,Embroidered Cotton Shirt,4554,Fancy Cotton,Sapphire,images_seg/2STESDW25V34_999.png,title
2STESDW25V35_999,images/2STESDW25V35_999.JPG,green,embroidered,Embroidered Cotton Shirt,4794,Fancy Cotton,Sapphire,images_seg/2STESDW25V35_999.png,title
2SESDW25V262_999,images/2SESDW25V262_999.JPG,blue,embroidered,Embroidered Lawn Shirt,4193,Textured Lawn,Sapphire,images_seg/2SESDW25V262_999.png,title
2SEPRW25V235_999,images/2SEPRW25V235_999.JPG,yellow,embroidered,Embroidered Lawn Viscose Pishwas,5994,Lawn Viscose,Sapphire,images_seg/2SEPRW25V235_999.png,title
3PCDFW25V215_999,images/3PCDFW25V215_999.JPG,lilac,printed,Printed Lawn Shirt,2093,Lawn,Sapphire,images_seg/3PCDFW25V215_999.png,title
2STESDW25V31_999,images/2STESDW25V31_999.JPG,pink,embroidered,Embroidered Cotton Shirt,6013,Fancy Cotton,Sapphire,images_seg/2STESDW25V31_999.png,title
03PCDFW25V37_999,images/03PCDFW25V37_999.JPG,yellow,embroidered,Embroidered Lawn Shirt,2793,Lawn,Sapphire,images_seg/03PCDFW25V37_999.png,title
2STESDW25V38_999,images/2STESDW25V38_999.JPG,pink,embroidered,Embroidered Cotton Shirt,5313,Fancy Cotton,Sapphire,images_seg/2STESDW25V38_999.png,title
3PEPRW25V225_999,images/3PEPRW25V225_999.JPG,white,embroidered,Embroidered Cotton Satin Shirt,4613,Cotton Satin,Sapphire,images_seg/3PEPRW25V225_999.png,title
2STESDW25V33_999,images/2STESDW25V33_999.JPG,blue,embroidered,Embroidered Cotton Shirt,5313,Fancy Cotton,Sapphire,images_seg/2STESDW25V33_999.png,title
2STESDW25V32_999,images/2STESDW25V32_999.JPG,black,embroidered,Embroidered Cotton Shirt,4794,Fancy Cotton,Sapphire,images_seg/2STESDW25V32_999.png,title
3PCDFW25V213_999,images/3PCDFW25V213_999.JPG,yellow,printed,Printed Lawn Shirt,1794,Lawn,Sapphire,images_seg/3PCDFW25V213_999.png,title
2SEPRW25V236_999,images/2SEPRW25V236_999.JPG,black,embroidered,Embroidered Lawn Viscose Pishwas,6993,Lawn Viscose,Sapphire,images_seg/2SEPRW25V236_999.png,title
3PEDFW25V37S_999,images/3PEDFW25V37S_999.JPG,pink,embroidered,Embroidered Cotton Satin Shirt,5994,Cotton Satin,Sapphire,images_seg/3PEDFW25V37S_999.png,title
3PRST25V552S_999,images/3PRST25V552S_999.JPG,green,jacquard,Jacquard Shirt,3294,Extra Weft Jacquard,Sapphire,images_seg/3PRST25V552S_999.png,title
3PESG25V513S_999,images/3PESG25V513S_999.JPG,green,embroidered,Embroidered Cotton Satin Shirt,5094,Cotton Satin,Sapphire,images_seg/3PESG25V513S_999.png,title
3PRST25V546S_999,images/3PRST25V546S_999.JPG,green,embroidered,Embroidered Cotton Jacquard Shirt,5394,Cotton Jacquard,Sapphire,images_seg/3PRST25V546S_999.png,title
3PRDF25V570S_999,images/3PRDF25V570S_999.JPG,white,printed,Printed Lawn Shirt,1995,Lawn,Sapphire,images_seg/3PRDF25V570S_999.png,title
3PESG25V512S_999,images/3PESG25V512S_999.JPG,beige,embroidered,Embroidered Cotton Satin Shirt,4194,Cotton Satin,Sapphire,images_seg/3PESG25V512S_999.png,title
3PRST25V540S_999,images/3PRST25V540S_999.JPG,pink,embroidered,Embroidered Dobby Shirt,4995,Dobby,Sapphire,images_seg/3PRST25V540S_999.png,title
2PRDY25V53ST_999,images/2PRDY25V53ST_999.JPG,green,embroidered,Embroidered Cotton Viscose Shirt,3594,Cotton Viscose,Sapphire,images_seg/2PRDY25V53ST_999.png,title
3PRSTS25V55S_999,images/3PRSTS25V55S_999.JPG,beige,embroidered,Embroidered Dobby Shirt,4494,Dobby,Sapphire,images_seg/3PRSTS25V55S_999.png,title
3PRDF25V556S_999,images/3PRDF25V556S_999.JPG,black,embroidered,Embroidered Lawn Shirt,3995,Lawn,Sapphire,images_seg/3PRDF25V556S_999.png,title
3PRST25V536S_999,images/3PRST25V536S_999.JPG,orange,embroidered,Embroidered Dobby Shirt,4495,Dobby,Sapphire,images_seg/3PRST25V536S_999.png,title
2PFST25V55ST_999,images/2PFST25V55ST_999.JPG,maroon,printed,Printed Lawn Shirt,2394,Lawn,Sapphire,images_seg/2PFST25V55ST_999.png,title
3PRST25V510S_999,images/3PRST25V510S_999.JPG,pink,embroidered,Embroidered Dobby Shirt,5094,Dobby,Sapphire,images_seg/3PRST25V510S_999.png,title
3PRST25V537S_999,images/3PRST25V537S_999.JPG,black,embroidered,Embroidered Dobby Shirt,4495,Dobby,Sapphire,images_seg/3PRST25V537S_999.png,title
2PRDY25V57ST_999,images/2PRDY25V57ST_999.JPG,green,printed,Printed Cotton Viscose Shirt,2995,Cotton Viscose,Sapphire,images_seg/2PRDY25V57ST_999.png,title
2STDF25V33ST_999,images/2STDF25V33ST_999.JPG,green,printed,Printed Cambric Shirt,2094,Cambric,Sapphire,images_seg/2STDF25V33ST_999.png,title
2STDF25V31ST_999,images/2STDF25V31ST_999.JPG,green,printed,Printed Cambric Shirt,2094,Cambric,Sapphire,images_seg/2STDF25V31ST_999.png,title
3PBDS25V410S_999,images/3PBDS25V410S_999.JPG,white,embroidered,Embroidered Crosshatch Shirt,2694,Cross Hatch,Sapphire,images_seg/3PBDS25V410S_999.png,title
3PRST25V417S_999,images/3PRST25V417S_999.JPG,yellow,embroidered,Embroidered Lawn Shirt,3995,Lawn,Sapphire,images_seg/3PRST25V417S_999.png,title
2STDF25V36ST_999,images/2STDF25V36ST_999.JPG,white,printed,Printed Cambric Shirt,2094,Cambric,Sapphire,images_seg/2STDF25V36ST_999.png,title
2STDF25V35ST_999,images/2STDF25V35ST_999.JPG,blue,printed,Printed Cambric Shirt,2094,Cambric,Sapphire,images_seg/2STDF25V35ST_999.png,title
2STD25V320ST_999,images/2STD25V320ST_999.JPG,blue,embroidered,Embroidered Dobby Shirt,2495,Dobby,Sapphire,images_seg/2STD25V320ST_999.png,title
2PRD25V434ST_999,images/2PRD25V434ST_999.JPG,white,printed,Printed Crosshatch Shirt,2094,Cross Hatch,Sapphire,images_seg/2PRD25V434ST_999.png,title
2PFST25V42ST_999,images/2PFST25V42ST_999.JPG,brown,embroidered,Embroidered Cotton Viscose Shirt,5394,Cotton Viscose,Sapphire,images_seg/2PFST25V42ST_999.png,title
3PCRNSTW252S_999,images/3PCRNSTW252S_999.JPG,beige,embroidered,Embroidered Lawn Shirt,2995,Textured Lawn,Sapphire,images_seg/3PCRNSTW252S_999.png,title
3PBDES25V21S_999,images/3PBDES25V21S_999.JPG,white,embroidered,Embroidered Lawn Shirt,2694,Lawn,Sapphire,images_seg/3PBDES25V21S_999.png,title
3PCRNSTW253S_999,images/3PCRNSTW253S_999.JPG,beige,embroidered,Embroidered Lawn Shirt,2397,Textured Lawn,Sapphire,images_seg/3PCRNSTW253S_999.png,title
3PDFW25V1149_999,images/3PDFW25V1149_999.JPG,beige,embroidered,Embroidered Lawn Viscose Shirt,2994,Lawn Viscose,Sapphire,images_seg/3PDFW25V1149_999.png,title
2SEPRW25V187_999,images/2SEPRW25V187_999.JPG,peach,embroidered,Embroidered Lawn Shirt,1995,Textured Lawn,Sapphire,images_seg/2SEPRW25V187_999.png,title
3PDFW25V1146_999,images/3PDFW25V1146_999.JPG,white,embroidered,Embroidered Lawn Viscose Shirt,2394,Lawn Viscose,Sapphire,images_seg/3PDFW25V1146_999.png,title
3PDFW25V1126_999,images/3PDFW25V1126_999.JPG,grey,printed,Printed Arabic Lawn Shirt,1494,Arabic Lawn,Sapphire,images_seg/3PDFW25V1126_999.png,title
3PDFW25V1140_999,images/3PDFW25V1140_999.JPG,white,embroidered,Embroidered Lawn Viscose Shirt,2394,Lawn Viscose,Sapphire,images_seg/3PDFW25V1140_999.png,title
3PDFW25V1117_999,images/3PDFW25V1117_999.JPG,green,printed,Printed Crosshatch Shirt,1974,Cross Hatch,Sapphire,images_seg/3PDFW25V1117_999.png,title
3PDFW25V1115_999,images/3PDFW25V1115_999.JPG,white,printed,Printed Crosshatch Shirt,1645,Cross Hatch,Sapphire,images_seg/3PDFW25V1115_999.png,title
3PDFW25V1103_999,images/3PDFW25V1103_999.JPG,yellow,printed,Printed Arabic Lawn Shirt,1495,Arabic Lawn,Sapphire,images_seg/3PDFW25V1103_999.png,title
3PDFW25V1172_999,images/3PDFW25V1172_999.JPG,beige,embroidered,Embroidered Jacquard Shirt,2995,Cotton Jacquard,Sapphire,images_seg/3PDFW25V1172_999.png,title
3PRDF25V576S_999,images/3PRDF25V576S_999.JPG,lilac,embroidered,Embroidered Dobby Shirt,5994,Dobby,Sapphire,images_seg/3PRDF25V576S_999.png,title
2SDPRW25V127_999,images/2SDPRW25V127_999.JPG,black,printed,Printed Lawn Shirt,1794,Lawn,Sapphire,images_seg/2SDPRW25V127_999.png,title
3PRDF25V486S_999,images/3PRDF25V486S_999.JPG,pink,embroidered,Embroidered Dobby Shirt,3745,Dobby,Sapphire,images_seg/3PRDF25V486S_999.png,title
2PRDY25V238S_999,images/2PRDY25V238S_999.JPG,blue,jacquard,Solid Jacquard Shirt,2245,Arabic Self Jacquard,Sapphire,images_seg/2PRDY25V238S_999.png,title
2SDEPRW25V12_999,images/2SDEPRW25V12_999.JPG,black,embroidered,Embroidered Lawn Shirt,2994,Lawn,Sapphire,images_seg/2SDEPRW25V12_999.png,title
3PRTS25V236S_999,images/3PRTS25V236S_999.JPG,brown,embroidered,Embroidered Jacquard Shirt,2995,Extra Weft Jacquard,Sapphire,images_seg/3PRTS25V236S_999.png,title
3PRDFW25V26S_999,images/3PRDFW25V26S_999.JPG,beige,embroidered,Embroidered Lawn Shirt,2745,Lawn,Sapphire,images_seg/3PRDFW25V26S_999.png,title
3PRDF25V577S_999,images/3PRDF25V577S_999.JPG,purple,embroidered,Embroidered Jacquard Shirt,4794,Cotton Jacquard,Sapphire,images_seg/3PRDF25V577S_999.png,title
002PCHWW258S_999,images/002PCHWW258S_999.JPG,pink,jacquard,Solid Dobby Shirt,2495,Dobby,Sapphire,images_seg/002PCHWW258S_999.png,title
002PCHWW256S_999,images/002PCHWW256S_999.JPG,purple,jacquard,Solid Dobby Shirt,2994,Dobby,Sapphire,images_seg/002PCHWW256S_999.png,title
2PFSTS25V27S_999,images/2PFSTS25V27S_999.JPG,multi,printed,Printed Lycra Shirt,2745,Lycra,Sapphire,images_seg/2PFSTS25V27S_999.png,title
2PRD25V428ST_999,images/2PRD25V428ST_999.JPG,beige,printed,Printed Lawn Shirt,1645,Lawn,Sapphire,images_seg/2PRD25V428ST_999.png,title
2PRDY25V233S_999,images/2PRDY25V233S_999.JPG,white,printed,Printed Lawn Shirt,1995,Lawn,Sapphire,images_seg/2PRDY25V233S_999.png,title
3PRSG25V218S_999,images/3PRSG25V218S_999.JPG,pink,printed,Block Printed Lawn Shirt,2247,Lawn,Sapphire,images_seg/3PRSG25V218S_999.png,title
3PRES25V262S_999,images/3PRES25V262S_999.JPG,white,embroidered,Embroidered Zari Lawn Shirt,4245,Zari Lawn,Sapphire,images_seg/3PRES25V262S_999.png,title
3PRSG25V257S_999,images/3PRSG25V257S_999.JPG,black,printed,Printed Zari Lawn Shirt,2997,Zari Lawn,Sapphire,images_seg/3PRSG25V257S_999.png,title
2STESDW25V14_999,images/2STESDW25V14_999.JPG,blue,embroidered,Embroidered Lawn Shirt,2995,Textured Lawn,Sapphire,images_seg/2STESDW25V14_999.png,title
2STPRW25V121_999,images/2STPRW25V121_999.JPG,blue,printed,Printed Lawn Shirt,1645,Lawn,Sapphire,images_seg/2STPRW25V121_999.png,title
3PRDYS25V53S_999,images/3PRDYS25V53S_999.JPG,blue,embroidered,Embroidered Lawn Shirt,2995,Lawn,Sapphire,images_seg/3PRDYS25V53S_999.png,title
2PFST25V52ST_999,images/2PFST25V52ST_999.JPG,beige,printed,Printed Lawn Shirt,2694,Lawn,Sapphire,images_seg/2PFST25V52ST_999.png,title
2PRDY25V51ST_999,images/2PRDY25V51ST_999.JPG,maroon,embroidered,Embroidered Cotton Viscose Shirt,2995,Cotton Viscose,Sapphire,images_seg/2PRDY25V51ST_999.png,title
3PRDY25V515S_999,images/3PRDY25V515S_999.JPG,pink,printed,Printed Lawn Shirt,2495,Lawn,Sapphire,images_seg/3PRDY25V515S_999.png,title
3PESGS25V53S_999,images/3PESGS25V53S_999.JPG,green,embroidered,Embroidered Lawn Shirt,3495,Lawn,Sapphire,images_seg/3PESGS25V53S_999.png,title
3PRDY25V512S_999,images/3PRDY25V512S_999.JPG,yellow,printed,Printed Lawn Shirt,1995,Lawn,Sapphire,images_seg/3PRDY25V512S_999.png,title
3PEDF25V229S_999,images/3PEDF25V229S_999.JPG,pink,embroidered,Embroidered Zari Lawn Shirt,3495,Lawn,Sapphire,images_seg/3PEDF25V229S_999.png,title
3PRST25V547S_999,images/3PRST25V547S_999.JPG,pink,embroidered,Embroidered Cotton Jacquard Shirt,5495,Cotton Jacquard,Sapphire,images_seg/3PRST25V547S_999.png,title
3PRDY25V510S_999,images/3PRDY25V510S_999.JPG,blue,printed,Printed Lawn Shirt,2994,Lawn,Sapphire,images_seg/3PRDY25V510S_999.png,title
2PBST25V52ST_999,images/2PBST25V52ST_999.JPG,beige,embroidered,Embroidered Cotton Viscose Shirt,2694,Cotton Viscose,Sapphire,images_seg/2PBST25V52ST_999.png,title
2PFST25V54ST_999,images/2PFST25V54ST_999.JPG,white,printed,Printed Lawn Shirt,1995,Lawn,Sapphire,images_seg/2PFST25V54ST_999.png,title
2PBST25V57ST_999,images/2PBST25V57ST_999.JPG,purple,embroidered,Embroidered Cotton Viscose Shirt,2994,Cotton Viscose,Sapphire,images_seg/2PBST25V57ST_999.png,title
3PRDS25V425S_999,images/3PRDS25V425S_999.JPG,maroon,embroidered,Embroidered Cotton Shirt,3245,Textured Cotton,Sapphire,images_seg/3PRDS25V425S_999.png,title
3PRDF25V317S_999,images/3PRDF25V317S_999.JPG,green,printed,Printed Lawn Shirt,2245,Lawn,Sapphire,images_seg/3PRDF25V317S_999.png,title
PRESTW25V216_999,images/PRESTW25V216_999.JPG,lilac,embroidered,Embroidered Lawn Shirt,3493,Textured Lawn,Sapphire,images_seg/PRESTW25V216_999.png,title
3PDFW25V1150_999,images/3PDFW25V1150_999.JPG,yellow,embroidered,Embroidered Lawn Viscose Shirt,2793,Lawn Viscose,Sapphire,images_seg/3PDFW25V1150_999.png,title
3PCDFW25V184_999,images/3PCDFW25V184_999.JPG,maroon,jacquard,Printed Dobby Shirt,2303,Dobby,Sapphire,images_seg/3PCDFW25V184_999.png,title
